iter	Passed	Remaining
0	3	2065
1	6	1963
2	9	1845
3	12	1825
4	15	1850
5	18	1853
6	21	1840
7	24	1831
8	27	1818
9	30	1806
10	33	1791
11	36	1779
12	39	1794
13	43	1801
14	46	1798
15	49	1788
16	52	1788
17	55	1787
18	58	1780
19	61	1774
20	64	1766
21	66	1757
22	69	1752
23	72	1749
24	75	1747
25	78	1743
26	81	1737
27	84	1732
28	87	1729
29	89	1703
30	92	1697
31	95	1693
32	98	1695
33	101	1693
34	104	1688
35	107	1683
36	110	1685
37	113	1683
38	116	1680
39	119	1675
40	122	1671
41	125	1668
42	128	1668
43	131	1664
44	134	1660
45	137	1657
46	139	1645
47	142	1642
48	145	1638
49	148	1633
50	151	1631
51	154	1629
52	157	1629
53	160	1626
54	163	1623
55	166	1620
56	169	1615
57	172	1613
58	175	1609
59	178	1607
60	181	1603
61	184	1600
62	187	1596
63	190	1593
64	193	1589
65	196	1586
66	199	1583
67	201	1579
68	204	1576
69	207	1572
70	210	1569
71	213	1568
72	217	1566
73	220	1564
74	223	1562
75	226	1561
76	229	1559
77	233	1561
78	236	1558
79	239	1555
80	242	1551
81	245	1550
82	248	1548
83	251	1547
84	254	1544
85	257	1541
86	260	1537
87	263	1534
88	266	1531
89	270	1530
90	273	1527
91	276	1526
92	279	1523
93	282	1520
94	285	1516
95	288	1513
96	291	1509
97	294	1507
98	297	1504
99	300	1501
100	303	1498
101	306	1495
102	309	1492
103	312	1488
104	315	1486
105	318	1483
106	321	1480
107	324	1477
108	327	1476
109	330	1472
110	333	1470
111	336	1467
112	339	1463
113	342	1460
114	345	1457
115	348	1453
116	351	1451
117	354	1448
118	357	1445
119	360	1442
120	363	1439
121	366	1436
122	369	1432
123	372	1429
124	375	1426
125	378	1423
126	381	1421
127	384	1418
128	388	1418
129	391	1415
130	394	1413
131	397	1409
132	400	1406
133	403	1404
134	406	1401
135	409	1398
136	412	1394
137	415	1391
138	418	1387
139	421	1384
140	424	1381
141	427	1378
142	430	1374
143	433	1371
144	436	1369
145	439	1366
146	442	1363
147	445	1360
148	448	1357
149	451	1354
150	454	1351
151	457	1348
152	460	1345
153	463	1343
154	466	1340
155	469	1337
156	472	1334
157	476	1331
158	479	1329
159	482	1326
160	485	1323
161	489	1322
162	492	1319
163	495	1316
164	498	1313
165	501	1310
166	504	1307
167	507	1304
168	510	1301
169	513	1298
170	516	1294
171	519	1291
172	523	1292
173	526	1289
174	530	1288
175	533	1286
176	537	1284
177	540	1281
178	543	1278
179	546	1274
180	549	1271
181	552	1268
182	555	1265
183	558	1262
184	561	1259
185	564	1255
186	567	1252
187	570	1249
188	573	1246
189	576	1243
190	579	1240
191	582	1238
192	585	1234
193	588	1231
194	591	1227
195	594	1224
196	597	1222
197	600	1218
198	603	1215
199	606	1212
200	608	1207
201	611	1204
202	614	1201
203	617	1198
204	620	1195
205	624	1193
206	627	1191
207	630	1187
208	633	1185
209	637	1183
210	640	1180
211	643	1177
212	646	1175
213	650	1172
214	653	1169
215	656	1167
216	659	1164
217	663	1161
218	666	1158
219	668	1155
220	671	1152
221	675	1149
222	677	1146
223	680	1142
224	683	1139
225	686	1136
226	690	1133
227	693	1131
228	696	1128
229	699	1125
230	702	1122
231	705	1119
232	708	1116
233	711	1113
234	714	1110
235	718	1108
236	721	1105
237	724	1101
238	727	1098
239	730	1095
240	733	1092
241	736	1089
242	739	1086
243	742	1083
244	746	1082
245	752	1083
246	757	1082
247	762	1082
248	767	1082
249	773	1082
250	776	1079
251	779	1076
252	782	1072
253	785	1069
254	788	1067
255	791	1064
256	795	1061
257	798	1057
258	801	1054
259	804	1051
260	807	1048
261	810	1045
262	813	1042
263	816	1038
264	819	1035
265	822	1032
266	826	1030
267	829	1027
268	832	1023
269	835	1020
270	838	1017
271	840	1014
272	844	1011
273	847	1008
274	850	1004
275	853	1001
276	856	998
277	859	995
278	862	992
279	865	989
280	868	986
281	871	983
282	875	980
283	878	976
284	881	974
285	884	970
286	887	967
287	890	964
288	893	961
289	896	957
