number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_colsample,params_depth,params_leaves,params_lr,params_min_child,params_n,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_NSGAIISampler:generation,state
0,0.7806953420853739,0.808758567438189,0.4619614054817892,2026-04-17 14:53:14.215933,2026-04-17 14:53:25.926267,0 days 00:00:11.710334,0.6232334448672797,10,98,0.006531809029603845,24,466,0.6245760287469893,0.002570603566117598,0.662397808134481,0,COMPLETE
1,0.7750060606067602,0.8064976454214786,0.455981745719346,2026-04-17 14:53:25.927043,2026-04-17 14:53:31.780344,0 days 00:00:05.853301,0.6733618039413735,3,129,0.0347400586506752,29,585,5.472429642032198e-06,0.00052821153945323,0.6727299868828402,0,COMPLETE
2,0.7775054788895416,0.8076176756071052,0.43788571345021987,2026-04-17 14:53:31.781214,2026-04-17 14:53:39.900979,0 days 00:00:08.119765,0.7824279936868144,5,38,0.008708668905847943,36,406,0.1165691561324743,6.267062696005991e-07,0.7465447373174767,0,COMPLETE
3,0.7736052310356218,0.8031494574302476,0.44851336682211884,2026-04-17 14:53:39.901756,2026-04-17 14:53:44.691678,0 days 00:00:04.789922,0.9795542149013333,7,99,0.013152886320011516,25,123,4.905556676028774,0.18861495878553936,0.6260206371941118,0,COMPLETE
4,0.7720823466896454,0.8032781208990192,0.4474523188494921,2026-04-17 14:53:44.692476,2026-04-17 14:53:51.367221,0 days 00:00:06.674745,0.6137554084460873,3,77,0.004601160263509295,21,442,1.527156759251193,2.133142332373004e-06,0.798070764044508,0,COMPLETE
5,0.7769194948303494,0.8071879871582164,0.4471267645947694,2026-04-17 14:53:51.368023,2026-04-17 14:53:58.132976,0 days 00:00:06.764953,0.9100531293444458,5,91,0.027650879647340584,26,360,2.854239907497756,1.1309571585271483,0.9878338511058234,0,COMPLETE
6,0.781190501956603,0.8090132451060039,0.45272269264204223,2026-04-17 14:53:58.133644,2026-04-17 14:54:03.535822,0 days 00:00:05.402178,0.7554709158757928,10,45,0.020002529412259395,14,144,2.7678419414850017e-06,0.28749982347407854,0.7301321323053057,0,COMPLETE
7,0.7761116389215241,0.8064339498433801,0.4456613037079844,2026-04-17 14:54:03.536569,2026-04-17 14:54:11.504682,0 days 00:00:07.968113,0.9947547746402069,5,38,0.005974860857012641,82,371,0.08916674715636537,6.143857495033091e-07,0.6298202574719083,0,COMPLETE
8,0.7732068024894947,0.7826290732157035,0.47093904290214683,2026-04-17 14:54:11.505419,2026-04-17 14:54:18.795512,0 days 00:00:07.290093,0.7433862914177091,9,115,0.001028055665573648,80,454,1.1036250149900698e-07,0.5860448217200517,0.6296178606936361,0,COMPLETE
9,0.775911848896832,0.8068851836088735,0.4444210104001234,2026-04-17 14:54:18.796350,2026-04-17 14:54:25.507974,0 days 00:00:06.711624,0.8550229885420852,5,60,0.022717137441563427,39,131,0.9658611176861268,0.0001778010520878397,0.8918424713352255,0,COMPLETE
10,0.7744181026107126,0.7964498397613414,0.46445998059281113,2026-04-17 14:54:25.508707,2026-04-17 14:54:33.400686,0 days 00:00:07.891979,0.8090931317527976,8,93,0.0018207402509174454,80,481,7.04480806377519e-05,1.6934490731313353e-08,0.7975182385457563,0,COMPLETE
11,0.7674973498586727,0.7879515986796595,0.43394173107188383,2026-04-17 14:54:33.401764,2026-04-17 14:54:40.566522,0 days 00:00:07.164758,0.69971689165955,3,61,0.001717044659935762,56,418,4.9368087974032924e-05,0.06308995924905789,0.9630265895704372,0,COMPLETE
12,0.7659512725965616,0.7892281200681563,0.4386297664136485,2026-04-17 14:54:40.567277,2026-04-17 14:54:45.273576,0 days 00:00:04.706299,0.8533615026041694,3,41,0.003146919894620846,94,245,0.6968596391373533,0.1710207048797339,0.9232481518257668,0,COMPLETE
13,0.7742639123074391,0.7963145962491573,0.464499853525596,2026-04-17 14:54:45.274364,2026-04-17 14:54:53.200610,0 days 00:00:07.926246,0.6440207698110707,10,125,0.0025467919845078256,91,370,1.1256839212661599e-06,6.98184330520185e-05,0.7272013899887455,0,COMPLETE
14,0.7778140615564054,0.8076782609207604,0.4684927756944407,2026-04-17 14:54:53.201585,2026-04-17 14:54:58.751714,0 days 00:00:05.550129,0.6479461469334731,9,86,0.06026633507635092,47,103,1.0927895733904103e-05,3.0632845126552133,0.6888431241882921,0,COMPLETE
15,0.7754797443529025,0.8062321417188647,0.4557860327243122,2026-04-17 14:54:58.752482,2026-04-17 14:55:06.071517,0 days 00:00:07.319035,0.7007129183301457,7,67,0.005050322074279213,98,452,0.00029870091504560114,5.103930927389519e-06,0.9849789179768444,0,COMPLETE
16,0.7721019515918712,0.8025471820196535,0.43596910511084064,2026-04-17 14:55:06.072311,2026-04-17 14:55:13.395353,0 days 00:00:07.323042,0.9633063543866615,3,85,0.004167147855597244,14,405,1.4323759352560882e-06,2.0139739500176936e-07,0.7114585856946446,0,COMPLETE
17,0.7778550595946596,0.8075490912253741,0.4540339965806054,2026-04-17 14:55:13.396140,2026-04-17 14:55:19.007265,0 days 00:00:05.611125,0.8912865394447438,10,108,0.011616996897195595,79,221,2.0419645327312315e-05,0.00490628164601872,0.6950550175969599,0,COMPLETE
18,0.7776221177262483,0.8077021040557489,0.44802965864687516,2026-04-17 14:55:19.008040,2026-04-17 14:55:26.000007,0 days 00:00:06.991967,0.6163100566219055,7,129,0.023912141167670414,39,145,0.0020798714270728416,0.012533698878351464,0.6746074041599417,0,COMPLETE
19,0.7724023909874248,0.7696418798231144,0.462246154054736,2026-04-17 14:55:26.000809,2026-04-17 14:55:31.597289,0 days 00:00:05.596480,0.7546941385202149,7,104,0.0010866673777466193,25,213,2.6950690621944617,1.7285760734977495e-07,0.8763750952409863,0,COMPLETE
20,0.7745237041431687,0.8061637191813593,0.4365398094652111,2026-04-17 14:55:31.598272,2026-04-17 14:55:38.272213,0 days 00:00:06.673941,0.9268888800804863,3,134,0.005523209354840282,33,563,0.0009926755025313784,0.0005845951462609696,0.8639936184136716,0,COMPLETE
21,0.7724393521492093,0.802965290030406,0.44936456072678654,2026-04-17 14:55:38.273170,2026-04-17 14:55:45.133199,0 days 00:00:06.860029,0.7396838298450643,3,137,0.0033596393259423033,67,549,0.03416654859330391,1.1857478328321251,0.7356119164194803,0,COMPLETE
22,0.7726762373209196,0.8002187158694982,0.5423030809540519,2026-04-17 14:55:45.133964,2026-04-17 14:55:52.130174,0 days 00:00:06.996210,0.842571623863836,9,31,0.08518850836015658,24,421,1.2099668294649193e-08,8.189245406796203e-08,0.9594216754108317,0,COMPLETE
23,0.7751731163790545,0.8068097407942512,0.44513157977915285,2026-04-17 14:55:52.130968,2026-04-17 14:55:58.239265,0 days 00:00:06.108297,0.689707723784224,3,91,0.027786919322282833,72,180,0.025681062756497588,1.365343060974712e-06,0.8607845038010402,0,COMPLETE
24,0.7767004061210305,0.8063376032255951,0.44912924669598975,2026-04-17 14:55:58.240041,2026-04-17 14:56:05.470555,0 days 00:00:07.230514,0.637469907131237,8,131,0.005106219018733596,69,425,2.0391173859019014e-05,2.4368079851853013e-06,0.8273234413341887,0,COMPLETE
