number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_colsample,params_depth,params_leaves,params_lr,params_min_child,params_n,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_NSGAIISampler:generation,state
0,6.0318841735066115,0.932606565049832,-37.99258432254412,2026-04-18 15:30:05.579129,2026-04-18 15:30:08.475667,0 days 00:00:02.896538,0.6232334448672797,10,98,0.006531809029603845,24,466,0.6245760287469893,0.002570603566117598,0.662397808134481,0,COMPLETE
1,5.097758886806891,0.9455998813893285,-41.34604748539597,2026-04-18 15:30:08.476017,2026-04-18 15:30:09.450522,0 days 00:00:00.974505,0.6733618039413735,3,129,0.0347400586506752,29,585,5.472429642032198e-06,0.00052821153945323,0.6727299868828402,0,COMPLETE
2,5.739347517807555,0.9353243532229534,-39.63773566012122,2026-04-18 15:30:09.450811,2026-04-18 15:30:10.881931,0 days 00:00:01.431120,0.7824279936868144,5,38,0.008708668905847943,36,406,0.1165691561324743,6.267062696005991e-07,0.7465447373174767,0,COMPLETE
3,9.410911938269882,0.8799863901984895,-32.251702016694054,2026-04-18 15:30:10.882242,2026-04-18 15:30:11.806375,0 days 00:00:00.924133,0.9795542149013333,7,99,0.013152886320011516,25,123,4.905556676028774,0.18861495878553936,0.6260206371941118,0,COMPLETE
4,9.09712875193174,0.8829610765302597,-33.24892066830318,2026-04-18 15:30:11.806656,2026-04-18 15:30:13.056964,0 days 00:00:01.250308,0.6137554084460873,3,77,0.004601160263509295,21,442,1.527156759251193,2.133142332373004e-06,0.798070764044508,0,COMPLETE
5,5.102664581566073,0.9448341000607122,-41.35891841189488,2026-04-18 15:30:13.057267,2026-04-18 15:30:15.121243,0 days 00:00:02.063976,0.9100531293444458,5,91,0.027650879647340584,26,360,2.854239907497756,1.1309571585271483,0.9878338511058234,0,COMPLETE
6,6.072538265152562,0.9334495982156785,-38.087583097992606,2026-04-18 15:30:15.121530,2026-04-18 15:30:17.172743,0 days 00:00:02.051213,0.7554709158757928,10,45,0.020002529412259395,14,144,2.7678419414850017e-06,0.28749982347407854,0.7301321323053057,0,COMPLETE
7,8.20891977717514,0.895140190207958,-35.15876270202811,2026-04-18 15:30:17.173055,2026-04-18 15:30:18.276553,0 days 00:00:01.103498,0.9947547746402069,5,38,0.005974860857012641,82,371,0.08916674715636537,6.143857495033091e-07,0.6298202574719083,0,COMPLETE
8,20.55215614114277,0.49636534818927325,-12.943442546965077,2026-04-18 15:30:18.276865,2026-04-18 15:30:19.440193,0 days 00:00:01.163328,0.7433862914177091,9,115,0.001028055665573648,80,454,1.1036250149900698e-07,0.5860448217200517,0.6296178606936361,0,COMPLETE
9,6.235695237329256,0.9287919846782409,-38.661841401376044,2026-04-18 15:30:19.440477,2026-04-18 15:30:20.027351,0 days 00:00:00.586874,0.8550229885420852,5,60,0.022717137441563427,39,131,0.9658611176861268,0.0001778010520878397,0.8918424713352255,0,COMPLETE
10,15.658457238642722,0.7020561564332897,-21.596321000022744,2026-04-18 15:30:20.027643,2026-04-18 15:30:21.391863,0 days 00:00:01.364220,0.8090931317527976,8,93,0.0018207402509174454,80,481,7.04480806377519e-05,1.6934490731313353e-08,0.7975182385457563,0,COMPLETE
11,17.571983541639888,0.6291527993252797,-18.15953019827715,2026-04-18 15:30:21.392138,2026-04-18 15:30:22.154405,0 days 00:00:00.762267,0.69971689165955,3,61,0.001717044659935762,56,418,4.9368087974032924e-05,0.06308995924905789,0.9630265895704372,0,COMPLETE
12,17.080298595517796,0.6482943723913355,-19.23317492035783,2026-04-18 15:30:22.154692,2026-04-18 15:30:22.658020,0 days 00:00:00.503328,0.8533615026041694,3,41,0.003146919894620846,94,245,0.6968596391373533,0.1710207048797339,0.9232481518257668,0,COMPLETE
13,15.3160439675285,0.714769303046842,-22.257033713462484,2026-04-18 15:30:22.658341,2026-04-18 15:30:23.538212,0 days 00:00:00.879871,0.6440207698110707,10,125,0.0025467919845078256,91,370,1.1256839212661599e-06,6.98184330520185e-05,0.7272013899887455,0,COMPLETE
14,5.27500854078535,0.9405787265027612,-41.013956142459946,2026-04-18 15:30:23.538469,2026-04-18 15:30:24.004092,0 days 00:00:00.465623,0.6479461469334731,9,86,0.06026633507635092,47,103,1.0927895733904103e-05,3.0632845126552133,0.6888431241882921,0,COMPLETE
15,8.277973084511867,0.892906630430424,-35.08245683297481,2026-04-18 15:30:24.004384,2026-04-18 15:30:24.991269,0 days 00:00:00.986885,0.7007129183301457,7,67,0.005050322074279213,98,452,0.00029870091504560114,5.103930927389519e-06,0.9849789179768444,0,COMPLETE
16,10.355395304205668,0.8563562159806294,-31.300808870137423,2026-04-18 15:30:24.991541,2026-04-18 15:30:26.004549,0 days 00:00:01.013008,0.9633063543866615,3,85,0.004167147855597244,14,405,1.4323759352560882e-06,2.0139739500176936e-07,0.7114585856946446,0,COMPLETE
17,7.25349787564677,0.9102071812065468,-36.90363195171215,2026-04-18 15:30:26.004832,2026-04-18 15:30:26.799262,0 days 00:00:00.794430,0.8912865394447438,10,108,0.011616996897195595,79,221,2.0419645327312315e-05,0.00490628164601872,0.6950550175969599,0,COMPLETE
18,5.752652586380965,0.9353464187541405,-38.99768723663861,2026-04-18 15:30:26.799534,2026-04-18 15:30:27.754574,0 days 00:00:00.955040,0.6163100566219055,7,129,0.023912141167670414,39,145,0.0020798714270728416,0.012533698878351464,0.6746074041599417,0,COMPLETE
